gene_id,M1,M2,M3,N1,N2,N3
ENSG00000213279|Z97192.2,0,2,0,2,0,0
ENSG00000132680|KHDC4,528,929,848,802,842,798
ENSG00000145041|DCAF1,600,1658,1744,1390,1313,1402
ENSG00000102547|CAB39L,120,134,156,162,149,161
ENSG00000173826|KCNH6,0,0,0,0,0,0
ENSG00000103966|EHD4,1854,2330,2460,2480,2651,2665
ENSG00000286657|AC008453.2,6,0,0,1,0,2
ENSG00000238509|RNU6-104P,0,0,0,0,0,0
ENSG00000239580|RN7SL675P,0,0,0,0,0,0
ENSG00000234021|AL596451.1,0,0,0,0,0,0
ENSG00000100478|AP4S1,353,317,304,309,304,289
ENSG00000272536|RN7SL840P,0,0,0,0,0,0
ENSG00000181733|OR2Z1,0,0,0,0,0,0
ENSG00000259056|DUXAP1,4,2,3,2,1,3
ENSG00000107643|MAPK8,858,1195,1265,1030,1114,1136
ENSG00000125971|DYNLRB1,10199,6167,6067,7485,6846,7179
ENSG00000277063|MIR8084,0,0,0,0,0,0
ENSG00000257207|AC112229.3,3,1,0,0,0,0
ENSG00000260029|AC007608.2,0,0,0,0,0,0
ENSG00000269266|DNAJC19P2,0,0,0,0,0,0
ENSG00000047579|DTNBP1,172,154,147,160,144,139
ENSG00000148357|HMCN2,202,117,125,122,121,101
ENSG00000259404|EFL1P1,2,6,8,6,16,6
ENSG00000241877|AC095041.1,0,0,0,0,0,0
ENSG00000144840|RABL3,808,1227,1312,1198,1427,1300
ENSG00000242330|RN7SL683P,0,0,0,0,0,0
ENSG00000264247|LINC00909,449,514,488,712,684,673
ENSG00000221410|MIR1238,0,0,1,0,1,1
ENSG00000259427|DPPA5P2,0,0,0,0,0,0
ENSG00000167080|B4GALNT2,0,2,0,4,0,0
ENSG00000094796|KRT31,0,0,0,0,0,0
ENSG00000220181|MTRES1P1,0,0,0,0,0,0
ENSG00000264907|PRELID3BP3,0,0,0,0,0,0
ENSG00000230265|AC079178.1,0,0,0,0,0,0
ENSG00000232594|AC103563.4,0,0,0,0,0,0
ENSG00000122872|ARL4AP1,0,0,0,0,0,0
ENSG00000228064|AC023469.2,1,0,0,0,0,0
ENSG00000260272|AC093525.2,195,85,55,0,15,18
ENSG00000243317|STMP1,6342,4575,4699,5492,5728,5321
ENSG00000164609|SLU7,1332,2194,2042,2521,2507,2361
ENSG00000206262|FOXL2NB,0,0,0,0,0,0
ENSG00000279086|AC073130.3,4,2,4,12,4,2
ENSG00000003756|RBM5,2088,2591,2515,2433,2362,2591
ENSG00000241991|AC114982.2,0,0,0,0,0,0
ENSG00000101448|EPPIN,0,3,0,2,7,6
ENSG00000186007|LEMD1,0,0,2,0,0,0
ENSG00000278587|AL117355.1,0,0,0,0,0,0
ENSG00000222337|RN7SKP225,0,0,0,1,0,0
ENSG00000161847|RAVER1,2587,2926,3255,2131,2102,2354
ENSG00000254389|RHPN1-AS1,9,11,4,15,9,13
ENSG00000112237|CCNC,3019,3589,3655,3634,3539,3492
ENSG00000222895|RNU6-1133P,0,0,0,0,0,0
ENSG00000211790|TRAV8-4,0,0,0,0,0,0
ENSG00000287905|AC136431.2,0,0,0,0,0,0
ENSG00000253288|AC046195.1,0,0,2,0,0,0
ENSG00000285839|AL445685.3,0,2,0,0,0,0
ENSG00000207202|RNU6-800P,0,0,0,0,0,0
ENSG00000132952|USPL1,161,299,267,283,304,313
ENSG00000257958|AC008125.1,0,0,0,0,0,0
ENSG00000182534|MXRA7,14846,13101,14156,17216,17191,15699
ENSG00000115295|CLIP4,625,883,951,2270,2482,2095
ENSG00000221275|MIR548I2,0,0,0,0,0,0
ENSG00000064393|HIPK2,2896,7530,7890,8934,9177,9361
ENSG00000103257|SLC7A5,6714,9102,8457,22180,22046,23831
ENSG00000277077|AL158032.3,0,0,0,2,5,0
ENSG00000169313|P2RY12,0,0,0,0,0,0
ENSG00000251792|AL109758.1,0,0,0,0,0,0
ENSG00000285323|AL158066.2,0,1,0,0,1,1
ENSG00000231559|Z95118.1,0,0,0,0,0,0
ENSG00000226329|AC005682.1,5,0,2,0,2,0
ENSG00000280057|AL022069.2,0,0,2,0,0,0
ENSG00000258527|ASB9P1,0,0,0,0,0,0
ENSG00000259683|AC243562.2,0,0,0,0,0,0
